,0_ID,1_TIME,BID_P_1,BID_V_1,BID_P_2,BID_V_2,BID_P_3,BID_V_3,BID_P_4,BID_V_4,BID_P_5,BID_V_5,BID_P_6,BID_V_6,BID_P_7,BID_V_7,BID_P_8,BID_V_8,BID_P_9,BID_V_9,BID_P_10,BID_V_10,ASK_P_1,ASK_V_1,ASK_P_2,ASK_V_2,ASK_P_3,ASK_V_3,ASK_P_4,ASK_V_4,ASK_P_5,ASK_V_5,ASK_P_6,ASK_V_6,ASK_P_7,ASK_V_7,ASK_P_8,ASK_V_8,ASK_P_9,ASK_V_9,ASK_P_10,ASK_V_10,Y
4,COFFEE,1970.01.01 01:21:29.006102,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,108,128685,143,128695,110,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
5,COFFEE,1970.01.01 01:21:29.006131,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,108,128685,175,128695,110,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
6,COFFEE,1970.01.01 01:21:29.006151,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,229,128686,108,128685,175,128695,110,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
7,COFFEE,1970.01.01 01:21:29.006202,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,108,128685,175,128695,110,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
8,COFFEE,1970.01.01 01:21:29.006222,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,84,128685,175,128695,110,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
9,COFFEE,1970.01.01 01:21:29.006282,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,84,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
10,COFFEE,1970.01.01 01:21:29.006302,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,96,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
11,COFFEE,1970.01.01 01:21:29.006322,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,98,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
12,COFFEE,1970.01.01 01:21:29.006342,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,172.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
13,COFFEE,1970.01.01 01:21:29.006362,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,158.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
14,COFFEE,1970.01.01 01:21:29.006403,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,155.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
15,COFFEE,1970.01.01 01:21:29.006423,128694,53,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,151.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
16,COFFEE,1970.01.01 01:21:29.006443,128694,54,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,90,128697,87,128698,90,128699,167,128700,88.0,128701.0,146.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
17,COFFEE,1970.01.01 01:21:29.006463,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,91,128697,87,128698,90,128699,167,128700,88.0,128701.0,140.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
18,COFFEE,1970.01.01 01:21:29.006486,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,91,128697,87,128698,90,128699,167,128700,88.0,128701.0,120.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
19,COFFEE,1970.01.01 01:21:29.006524,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,120.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
20,COFFEE,1970.01.01 01:21:29.006560,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,123,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
21,COFFEE,1970.01.01 01:21:29.009428,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,111,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
22,COFFEE,1970.01.01 01:21:29.009507,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,109,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
23,COFFEE,1970.01.01 01:21:29.009541,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,104,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
24,COFFEE,1970.01.01 01:21:29.009578,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,98,128687,204,128686,84,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
25,COFFEE,1970.01.01 01:21:29.009640,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,103,128687,204,128686,84,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
26,COFFEE,1970.01.01 01:21:29.009660,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,88,128687,204,128686,84,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,106.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
27,COFFEE,1970.01.01 01:21:29.009680,128694,55,128693,150,128692,107,128691,123,128690,45,128689,108,128688,88,128687,204,128686,84,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,112.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
28,COFFEE,1970.01.01 01:21:29.009794,128694,42,128693,150,128692,107,128691,123,128690,45,128689,108,128688,88,128687,204,128686,84,128685,143,128695,98,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,112.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
29,COFFEE,1970.01.01 01:21:29.009850,128694,42,128693,150,128692,107,128691,123,128690,45,128689,108,128688,88,128687,204,128686,84,128685,143,128695,97,128696,92,128697,87,128698,90,128699,167,128700,88.0,128701.0,112.0,128702.0,192.0,128703.0,155.0,128704.0,213.0,
