,0_ID,1_TIME,BID_P_1,BID_V_1,BID_P_2,BID_V_2,BID_P_3,BID_V_3,BID_P_4,BID_V_4,BID_P_5,BID_V_5,BID_P_6,BID_V_6,BID_P_7,BID_V_7,BID_P_8,BID_V_8,BID_P_9,BID_V_9,BID_P_10,BID_V_10,ASK_P_1,ASK_V_1,ASK_P_2,ASK_V_2,ASK_P_3,ASK_V_3,ASK_P_4,ASK_V_4,ASK_P_5,ASK_V_5,ASK_P_6,ASK_V_6,ASK_P_7,ASK_V_7,ASK_P_8,ASK_V_8,ASK_P_9,ASK_V_9,ASK_P_10,ASK_V_10,Y
0,TEA,1970.01.01 01:11:29.966690,2418,7,2417,3,2416,3,2415,3,2414,57,2413,9,2412,8,2411,7,2410,10,2409,5,2421,5,2422,5,2423,5,2424,5,2425,5,2430,1.0,2431.0,2.0,2436.0,1.0,2437.0,1.0,2438.0,1.0,0.4195656724940916
1,TEA,1970.01.01 01:11:32.444868,2418,7,2417,3,2416,3,2415,4,2414,57,2413,9,2412,8,2411,7,2410,10,2409,5,2421,5,2422,5,2423,5,2424,5,2425,5,2430,1.0,2431.0,2.0,2436.0,1.0,2437.0,1.0,2438.0,1.0,0.4209177083133712
2,TEA,1970.01.01 01:11:33.886045,2420,1,2418,7,2417,3,2416,3,2415,4,2414,57,2413,9,2412,8,2411,7,2410,10,2421,5,2422,5,2423,5,2424,5,2425,5,2430,1.0,2431.0,2.0,2436.0,1.0,2437.0,1.0,2438.0,1.0,0.4209177083133712
3,TEA,1970.01.01 01:11:36.895255,2420,1,2418,7,2417,4,2416,3,2415,4,2414,57,2413,9,2412,8,2411,7,2410,10,2421,5,2422,5,2423,5,2424,5,2425,5,2430,1.0,2431.0,2.0,2436.0,1.0,2437.0,1.0,2438.0,1.0,0.41350314204962735
48,TEA,1970.01.01 01:21:29.049337,2419,13,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,17.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.4058909641117208
50,TEA,1970.01.01 01:21:29.069155,2419,10,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,17.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.4089898865165185
51,TEA,1970.01.01 01:21:29.069381,2419,21,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,17.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.4118203001261869
52,TEA,1970.01.01 01:21:29.069431,2419,21,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,19.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.4143877070054395
55,TEA,1970.01.01 01:21:29.069558,2419,21,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,27.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.4166969685951705
56,TEA,1970.01.01 01:21:29.069579,2419,26,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,27.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.41875235563941454
57,TEA,1970.01.01 01:21:29.069776,2419,25,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,27.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.41875235563941454
58,TEA,1970.01.01 01:21:29.069796,2419,24,2418,11,2417,9,2416,9,2415,9,2414,57,2413,4,2412,29,2411,34,2410,26,2421,5,2422,21,2423,6,2424,32,2425,24,2426,27.0,2427.0,16.0,2428.0,40.0,2429.0,1.0,2430.0,42.0,0.41875235563941454
